id,source_pack,source_origin,variant,canonical_hash,dedupe_reason
linkedin-editor-218,pack_linkedin_editor_v1,linkedin_editor,classic,6c4f6395b6fbc5bd9cc5c28c7139dfa25744cca3af1956fdda13357398b807b4,duplicate_of:linkedin-editor-109
all-160,pack_all_v1,unified,classic,6d240eff2a176f71f7425e7ada934cb84f6ed5d851a756ec3ab5d7ed421be01c,duplicate_of:linkedin-editor-45
all-322,pack_all_v1,linkedin_editor,classic,6d240eff2a176f71f7425e7ada934cb84f6ed5d851a756ec3ab5d7ed421be01c,duplicate_of:linkedin-editor-45
linkedin-editor-154,pack_linkedin_editor_v1,linkedin_editor,classic,6d240eff2a176f71f7425e7ada934cb84f6ed5d851a756ec3ab5d7ed421be01c,duplicate_of:linkedin-editor-45
all-404,pack_all_v1,linkedin_editor,classic,6efb6af11925fa81a005fccc985e2a6e2e8c37f5dec1b9f6fd78027f69b959d2,duplicate_of:linkedin-editor-256
all-167,pack_all_v1,unified,classic,6fb51b27b3fb0a911b569298a21032fcd4c43612ad66e3e6abff1453ca696e41,duplicate_of:linkedin-editor-60
all-337,pack_all_v1,linkedin_editor,classic,6fb51b27b3fb0a911b569298a21032fcd4c43612ad66e3e6abff1453ca696e41,duplicate_of:linkedin-editor-60
all-391,pack_all_v1,linkedin_editor,classic,6fb51b27b3fb0a911b569298a21032fcd4c43612ad66e3e6abff1453ca696e41,duplicate_of:linkedin-editor-60
linkedin-editor-169,pack_linkedin_editor_v1,linkedin_editor,classic,6fb51b27b3fb0a911b569298a21032fcd4c43612ad66e3e6abff1453ca696e41,duplicate_of:linkedin-editor-60
linkedin-editor-235,pack_linkedin_editor_v1,linkedin_editor,classic,6fb51b27b3fb0a911b569298a21032fcd4c43612ad66e3e6abff1453ca696e41,duplicate_of:linkedin-editor-60
all-182,pack_all_v1,unified,classic,7319b99d0e501a99cfe29ad8b42e0305a2801ab91e1dd2e4612ca9c2a078bce1,duplicate_of:linkedin-editor-105
all-382,pack_all_v1,linkedin_editor,classic,7319b99d0e501a99cfe29ad8b42e0305a2801ab91e1dd2e4612ca9c2a078bce1,duplicate_of:linkedin-editor-105
linkedin-editor-214,pack_linkedin_editor_v1,linkedin_editor,classic,7319b99d0e501a99cfe29ad8b42e0305a2801ab91e1dd2e4612ca9c2a078bce1,duplicate_of:linkedin-editor-105
all-106,pack_all_v1,unified,classic,742313eb2f3df172100955befcd92b23256550e7f2915d93d3659d8fe369dec0,duplicate_of:linkedin-editor-63
all-252,pack_all_v1,linkedin_editor,classic,742313eb2f3df172100955befcd92b23256550e7f2915d93d3659d8fe369dec0,duplicate_of:linkedin-editor-63
all-340,pack_all_v1,linkedin_editor,classic,742313eb2f3df172100955befcd92b23256550e7f2915d93d3659d8fe369dec0,duplicate_of:linkedin-editor-63
linkedin-editor-172,pack_linkedin_editor_v1,linkedin_editor,classic,742313eb2f3df172100955befcd92b23256550e7f2915d93d3659d8fe369dec0,duplicate_of:linkedin-editor-63
all-200,pack_all_v1,unified,classic,74baa17b31b7cf138d2af12adb351d1ac2dca40bafebe67e0c1548588604cd36,duplicate_of:linkedin-editor-239
all-152,pack_all_v1,unified,classic,75bb8e6d3d35dcdbe77f9df96ccf9f643d58b7cb0c4439e6af7bd9236a644855,duplicate_of:linkedin-editor-37
all-314,pack_all_v1,linkedin_editor,classic,75bb8e6d3d35dcdbe77f9df96ccf9f643d58b7cb0c4439e6af7bd9236a644855,duplicate_of:linkedin-editor-37
linkedin-editor-146,pack_linkedin_editor_v1,linkedin_editor,classic,75bb8e6d3d35dcdbe77f9df96ccf9f643d58b7cb0c4439e6af7bd9236a644855,duplicate_of:linkedin-editor-37
all-122,pack_all_v1,unified,classic,75e81ed567c3e0f8f7f79f744af796b20f597cff0b414011da7839c218050866,duplicate_of:linkedin-editor-93
all-271,pack_all_v1,linkedin_editor,classic,75e81ed567c3e0f8f7f79f744af796b20f597cff0b414011da7839c218050866,duplicate_of:linkedin-editor-93
all-370,pack_all_v1,linkedin_editor,classic,75e81ed567c3e0f8f7f79f744af796b20f597cff0b414011da7839c218050866,duplicate_of:linkedin-editor-93
linkedin-editor-202,pack_linkedin_editor_v1,linkedin_editor,classic,75e81ed567c3e0f8f7f79f744af796b20f597cff0b414011da7839c218050866,duplicate_of:linkedin-editor-93
all-184,pack_all_v1,unified,classic,781b5ba3801c771adb27f34ba456305c95d3bd9b8c8f4f14abde2fe8be23bbba,duplicate_of:linkedin-editor-107
all-384,pack_all_v1,linkedin_editor,classic,781b5ba3801c771adb27f34ba456305c95d3bd9b8c8f4f14abde2fe8be23bbba,duplicate_of:linkedin-editor-107
linkedin-editor-216,pack_linkedin_editor_v1,linkedin_editor,classic,781b5ba3801c771adb27f34ba456305c95d3bd9b8c8f4f14abde2fe8be23bbba,duplicate_of:linkedin-editor-107
